iter	RMSE
0	76.35374581
1	75.3484992
2	74.4546104
3	73.57448127
4	72.77439175
5	72.04727921
6	71.37644999
7	70.70446118
8	70.072028
9	69.55356171
10	69.07832403
11	68.643076
12	68.19069413
13	67.76295243
14	67.35809292
15	66.97236978
16	66.62692578
17	66.33771815
18	66.07708366
19	65.79753435
20	65.53822071
21	65.30054681
22	65.07129263
23	64.87222059
24	64.68630986
25	64.50526509
26	64.31471185
27	64.16311219
28	64.01857849
29	63.8749976
30	63.75347482
31	63.64650056
32	63.52730234
33	63.41668613
34	63.30637068
35	63.21070786
36	63.11576571
37	63.03513218
38	62.95386551
39	62.87863076
40	62.79962174
41	62.73529882
42	62.66544885
43	62.61120316
44	62.55550734
45	62.49575444
46	62.44592494
47	62.39524701
48	62.3396126
49	62.28980809
50	62.25167401
51	62.2071624
52	62.16615692
53	62.13277257
54	62.09535695
55	62.05617175
56	62.02090987
57	61.9834306
58	61.94729901
59	61.92215858
60	61.89762115
61	61.87087475
62	61.84344252
63	61.81611438
64	61.79296334
65	61.76519877
66	61.74387541
67	61.72214716
68	61.7003365
69	61.67697584
70	61.65824508
71	61.63834077
72	61.61379037
73	61.5954954
74	61.57441744
75	61.55424302
76	61.53080585
77	61.51508324
78	61.4963035
79	61.48023721
80	61.46891291
81	61.45209365
82	61.4361458
83	61.41739812
84	61.40238674
85	61.38405412
86	61.36601614
87	61.35056178
88	61.33557648
89	61.31917915
90	61.30045541
91	61.2841428
92	61.27188355
93	61.25816758
94	61.24251049
95	61.22187984
96	61.20977775
97	61.19407825
98	61.18078804
99	61.16625667
100	61.15468111
101	61.14533849
102	61.13341142
103	61.1233343
104	61.11250121
105	61.10037066
106	61.08876236
107	61.07447004
108	61.06063818
109	61.04723687
110	61.02922995
111	61.01673091
112	61.00450304
113	60.99568574
114	60.98296932
115	60.96969255
116	60.95984603
117	60.94796242
118	60.93643019
119	60.9278686
120	60.91434537
121	60.90294438
122	60.89256003
123	60.88311896
124	60.87403667
125	60.86183683
126	60.85142385
127	60.84146593
128	60.82925152
129	60.81782871
130	60.80509022
131	60.79667818
132	60.78447129
133	60.77461518
134	60.76331959
135	60.75426799
136	60.74748019
137	60.73395394
138	60.72362904
139	60.71472149
140	60.70506339
141	60.69507185
142	60.68693906
143	60.67650582
144	60.66800004
145	60.65722732
146	60.64613115
147	60.63618551
148	60.62788075
149	60.62046796
150	60.6137718
151	60.60162515
152	60.59381654
153	60.58643356
154	60.57801198
155	60.56532261
156	60.55573893
157	60.54728833
158	60.53940847
159	60.53226174
160	60.52056636
161	60.50866431
162	60.49996065
163	60.48901582
164	60.47941844
165	60.47336358
166	60.46683915
167	60.45760458
168	60.44972808
169	60.44491282
170	60.43670204
171	60.43115946
172	60.42233779
173	60.41635951
174	60.40752159
175	60.3996661
176	60.38959125
177	60.37856295
178	60.37182217
179	60.35823748
180	60.3505064
181	60.34081465
182	60.33332508
183	60.32536092
184	60.3159739
185	60.30671418
186	60.29547359
187	60.28781895
188	60.27729862
189	60.26961547
190	60.26425488
191	60.25536642
192	60.24592946
193	60.23751294
194	60.2306393
195	60.22161966
196	60.21114241
197	60.20499154
198	60.19715568
199	60.18863589
200	60.18053903
201	60.17121574
202	60.16107108
203	60.15237776
204	60.14307334
205	60.13503693
206	60.12592292
207	60.1186991
208	60.11153892
209	60.10168952
210	60.09188778
211	60.0784447
212	60.06865299
213	60.05777288
214	60.05042493
215	60.03603544
216	60.0308536
217	60.02128842
218	60.01442501
219	60.00549391
220	59.99378244
221	59.98325168
222	59.97507538
223	59.96556494
224	59.95595216
225	59.94452935
226	59.93549034
227	59.92527254
228	59.91335004
229	59.90025349
230	59.88327053
231	59.8716826
232	59.86100709
233	59.85412967
234	59.84479653
235	59.83234966
236	59.82165009
237	59.81312784
238	59.8064551
239	59.79200558
240	59.78106437
241	59.77069436
242	59.76211386
243	59.75467233
244	59.74350718
245	59.73335073
246	59.72369726
247	59.71361034
248	59.70376186
249	59.68866688
